GEOID,tri
060290021001,12.767
060290021002,12.767
060290021003,4.0
060290022001,29.0
060290022002,16.492
060290022005,16.492
060290023011,23.77
060290023012,30.282
060290034001,47.318
060290034002,43.035
060290038082,5.292
060290038091,3.162
060290023014,5.292
060290023021,38.923
060290023022,4.472
060290024001,3.464
060290025002,3.464
060290025003,4.359
060290025004,4.359
060290026001,4.583
060290026003,4.0
060290027001,4.0
060290027003,4.0
060290027004,3.873
060290027005,4.0
060590869023,4.583
060590869031,5.292
060590869032,1.732
060590869033,5.292
060590869034,1.732
060290038102,3.317
060290038111,3.464
060290038112,3.606
060710064011,42.214
060590870011,13.115
060590870012,13.115
060590870013,8.775
060590870021,16.31
060590872004,9.055
060590873001,8.246
060590873002,8.246
060590873003,8.775
060290028041,2.449
060290028042,3.873
060590873004,8.246
060590873005,8.775
060590874012,9.22
060590878011,11.18
060590878013,8.832
060590878021,4.359
060590878023,4.359
060590878032,4.796
060590878051,4.796
060014026001,13.711
060591100074,0.0
060190011001,12.649
060190011002,13.711
060014027001,20.396
060014027002,20.396
060014028001,17.833
060014030001,17.833
060014030002,4.0
060014031001,13.711
060014067004,159.612
060014067005,159.612
060014068001,308.551
060014068002,137.583
060190059042,0.0
060190060001,6.633
060190060002,8.602
060190060003,6.708
060190072015,2.236
060190072021,12.124
060190073001,0.0
060290035001,66.97
060014068003,137.583
060014068004,137.583
060014069001,225.701
060014103003,19.468
060014104001,18.193
060014104002,20.396
060014104003,20.396
060014201001,37.829
060014201002,96.633
060014202001,37.829
061130101023,10.909
061130102034,2.449
060190073002,15.588
060190073003,7.348
060770018001,2.828
060770018002,2.646
060770019001,2.449
060770019002,3.317
060770019003,3.317
060770019004,3.464
060290035002,74.027
060290035003,50.18
060290036001,129.896
060014202002,37.829
060014203001,40.866
060014043001,158.376
060014034003,20.905
060014221001,39.268
060014087002,17.521
060014279003,1.0
060014511011,229.111
060014403321,24.819
060014050002,149.195
060014070002,76.394
060014308003,58.881
060014011002,28.879
060014046001,229.273
060014237003,110.82
060770020001,2.236
060770020003,3.0
060770036013,2.449
060770036014,2.449
060770036022,2.236
060770036023,2.646
060770037001,3.317
060770037003,2.828
060014312003,52.029
060014321001,70.278
060014321002,70.278
060014321003,24.0
060014322001,20.396
060014322003,19.95
060014323002,19.95
060014366021,3.464
060770051251,1.732
060770051261,3.317
060770051262,3.0
060770051271,3.162
060770051272,3.162
060290028071,2.449
060290028072,3.873
060290028073,3.873
060290028074,3.464
060710119002,15.133
060710003013,36.497
060710100044,46.487
060710043012,43.806
060014366022,3.464
060014367001,31.828
060014367002,40.743
060014368001,31.289
060014368002,31.289
060014369001,28.196
060014369002,46.206
060014415211,11.489
060014415212,10.392
060014415222,12.649
060014416011,12.247
060014416012,11.705
060014504002,26.533
060014504003,26.533
060014506021,65.246
060014506022,81.566
060014506023,149.529
060133690022,94.144
060133690023,36.824
060133700001,100.876
060290028111,3.464
060290028121,3.606
060290028131,3.606
060290028132,3.464
060290028133,3.464
060290028141,4.123
060133700002,48.631
060290012023,38.092
060290012024,42.884
060290013002,33.705
060290013001,38.523
060290013005,33.705
060290013004,33.705
060290014001,30.545
060290014002,30.545
060290014003,33.705
060290014004,45.166
060290015003,33.63
060290015002,29.0
060290016001,18.276
060290028151,3.606
060290028152,4.123
060290028161,3.0
060290028171,3.873
060290028172,3.873
060290028181,3.873
060710008183,80.031
060290028182,3.873
060290028191,3.162
060290028192,2.449
060290029002,3.873
060290029003,3.606
060730036031,24.495
060290009091,70.901
060290009092,79.385
060290029004,3.464
060290030002,4.472
060290030003,5.099
060290030004,4.0
060290030006,3.464
060290031031,4.69
060290031032,4.583
060290031033,4.583
060290036002,133.011
060290036003,145.777
060290038031,7.55
060290009102,112.463
060133032041,7.141
060590870022,14.697
060590870023,16.31
060590871011,13.077
060590871022,11.79
060590871031,9.055
060590871034,4.583
060590874032,7.28
060590874041,8.775
060590874042,9.055
060590874051,9.434
060590874052,9.055
060591100073,0.0
060290009101,88.318
060590874053,7.874
060590878052,4.796
060590878053,3.873
060590878061,11.489
060590878062,8.718
060590879011,6.856
060590879021,6.856
060590879022,6.856
060590879023,6.708
060599800001,4.0
060590744032,11.136
